Permission,Role,Role Type
apigee.datacollectors.delete,Editor (roles/editor),Basics Role
apigee.datacollectors.delete,Apigee Organization Admin (roles/apigee.admin),Predefined Role
apigee.datacollectors.delete,Apigee Analytics Editor (roles/apigee.analyticsEditor),Predefined Role
apigee.datacollectors.delete,Apigee Developer Admin (roles/apigee.developerAdmin),Predefined Role
apigee.datacollectors.get,Owner (roles/owner),Basics Role
apigee.datacollectors.get,Editor (roles/editor),Basics Role
apigee.datacollectors.get,Viewer (roles/viewer),Basics Role
apigee.datacollectors.get,Apigee Organization Admin (roles/apigee.admin),Predefined Role
apigee.datacollectors.get,Apigee Analytics Editor (roles/apigee.analyticsEditor),Predefined Role
apigee.datacollectors.get,Apigee Analytics Viewer (roles/apigee.analyticsViewer),Predefined Role
apigee.datacollectors.get,Apigee Developer Admin (roles/apigee.developerAdmin),Predefined Role
apigee.datacollectors.get,Apigee Environment Admin (roles/apigee.environmentAdmin),Predefined Role
apigee.datacollectors.get,Apigee Read-only Admin (roles/apigee.readOnlyAdmin),Predefined Role
apigee.datacollectors.list,Owner (roles/owner),Basics Role
apigee.datacollectors.list,Editor (roles/editor),Basics Role
apigee.datacollectors.list,Viewer (roles/viewer),Basics Role
apigee.datacollectors.list,Apigee Organization Admin (roles/apigee.admin),Predefined Role
apigee.datacollectors.list,Apigee Analytics Editor (roles/apigee.analyticsEditor),Predefined Role
apigee.datacollectors.list,Apigee Analytics Viewer (roles/apigee.analyticsViewer),Predefined Role
apigee.datacollectors.list,Apigee Developer Admin (roles/apigee.developerAdmin),Predefined Role
apigee.datacollectors.list,Apigee Environment Admin (roles/apigee.environmentAdmin),Predefined Role
apigee.datacollectors.list,Apigee Read-only Admin (roles/apigee.readOnlyAdmin),Predefined Role
apigee.datacollectors.list,Security Admin (roles/iam.securityAdmin),Predefined Role
apigee.datacollectors.list,Security Reviewer (roles/iam.securityReviewer),Predefined Role
apigee.datacollectors.update,Owner (roles/owner),Basics Role
apigee.datacollectors.update,Editor (roles/editor),Basics Role
apigee.datacollectors.update,Apigee Organization Admin (roles/apigee.admin),Predefined Role
apigee.datacollectors.update,Apigee Analytics Editor (roles/apigee.analyticsEditor),Predefined Role
apigee.datacollectors.update,Apigee Developer Admin (roles/apigee.developerAdmin),Predefined Role
apigee.datalocation.get,Owner (roles/owner),Basics Role
apigee.datalocation.get,Editor (roles/editor),Basics Role
apigee.datalocation.get,Viewer (roles/viewer),Basics Role
apigee.datalocation.get,Apigee Organization Admin (roles/apigee.admin),Predefined Role
apigee.datalocation.get,Apigee Analytics Agent (roles/apigee.analyticsAgent),Predefined Role
apigee.datalocation.get,Apigee Read-only Admin (roles/apigee.readOnlyAdmin),Predefined Role
apigee.datastores.create,Owner (roles/owner),Basics Role
apigee.datastores.create,Editor (roles/editor),Basics Role
apigee.datastores.create,Apigee Organization Admin (roles/apigee.admin),Predefined Role
apigee.datastores.create,Apigee Analytics Editor (roles/apigee.analyticsEditor),Predefined Role
apigee.datastores.delete,Owner (roles/owner),Basics Role
apigee.datastores.delete,Editor (roles/editor),Basics Role
apigee.datastores.delete,Apigee Organization Admin (roles/apigee.admin),Predefined Role
apigee.datastores.delete,Apigee Analytics Editor (roles/apigee.analyticsEditor),Predefined Role
apigee.datastores.get,Owner (roles/owner),Basics Role
apigee.datastores.get,Editor (roles/editor),Basics Role
apigee.datastores.get,Viewer (roles/viewer),Basics Role
apigee.datastores.get,Apigee Organization Admin (roles/apigee.admin),Predefined Role
apigee.datastores.get,Apigee Analytics Editor (roles/apigee.analyticsEditor),Predefined Role
apigee.datastores.get,Apigee Analytics Viewer (roles/apigee.analyticsViewer),Predefined Role
apigee.datastores.get,Apigee Read-only Admin (roles/apigee.readOnlyAdmin),Predefined Role
apigee.datastores.list,Owner (roles/owner),Basics Role
apigee.datastores.list,Editor (roles/editor),Basics Role
apigee.datastores.list,Viewer (roles/viewer),Basics Role
apigee.datastores.list,Apigee Organization Admin (roles/apigee.admin),Predefined Role
apigee.datastores.list,Apigee Analytics Editor (roles/apigee.analyticsEditor),Predefined Role
apigee.datastores.list,Apigee Analytics Viewer (roles/apigee.analyticsViewer),Predefined Role
apigee.datastores.list,Apigee Read-only Admin (roles/apigee.readOnlyAdmin),Predefined Role
apigee.datastores.list,Security Admin (roles/iam.securityAdmin),Predefined Role
apigee.datastores.list,Security Reviewer (roles/iam.securityReviewer),Predefined Role
apigee.datastores.update,Owner (roles/owner),Basics Role
apigee.datastores.update,Editor (roles/editor),Basics Role
apigee.datastores.update,Apigee Organization Admin (roles/apigee.admin),Predefined Role
apigee.datastores.update,Apigee Analytics Editor (roles/apigee.analyticsEditor),Predefined Role
apigee.deployments.create,Owner (roles/owner),Basics Role
apigee.deployments.create,Editor (roles/editor),Basics Role
apigee.deployments.create,Apigee Organization Admin (roles/apigee.admin),Predefined Role
apigee.deployments.create,Apigee Environment Admin (roles/apigee.environmentAdmin),Predefined Role
apigee.deployments.delete,Owner (roles/owner),Basics Role
apigee.deployments.delete,Editor (roles/editor),Basics Role
apigee.deployments.delete,Apigee Organization Admin (roles/apigee.admin),Predefined Role
apigee.deployments.delete,Apigee Environment Admin (roles/apigee.environmentAdmin),Predefined Role
apigee.deployments.get,Owner (roles/owner),Basics Role
apigee.deployments.get,Editor (roles/editor),Basics Role
apigee.deployments.get,Viewer (roles/viewer),Basics Role
apigee.deployments.get,Apigee Organization Admin (roles/apigee.admin),Predefined Role
apigee.deployments.get,Apigee Environment Admin (roles/apigee.environmentAdmin),Predefined Role
apigee.deployments.get,Apigee Read-only Admin (roles/apigee.readOnlyAdmin),Predefined Role
apigee.deployments.list,Owner (roles/owner),Basics Role
apigee.deployments.list,Editor (roles/editor),Basics Role
apigee.deployments.list,Viewer (roles/viewer),Basics Role
apigee.deployments.list,Apigee Organization Admin (roles/apigee.admin),Predefined Role
apigee.deployments.list,Apigee Environment Admin (roles/apigee.environmentAdmin),Predefined Role
apigee.deployments.list,Apigee Read-only Admin (roles/apigee.readOnlyAdmin),Predefined Role
apigee.deployments.list,Security Admin (roles/iam.securityAdmin),Predefined Role
apigee.deployments.list,Security Reviewer (roles/iam.securityReviewer),Predefined Role
apigee.deployments.update,Owner (roles/owner),Basics Role
apigee.deployments.update,Editor (roles/editor),Basics Role
apigee.deployments.update,Apigee Organization Admin (roles/apigee.admin),Predefined Role
apigee.deployments.update,Apigee Environment Admin (roles/apigee.environmentAdmin),Predefined Role
apigee.developerappattributes.createOrUpdateAll,Owner (roles/owner),Basics Role
apigee.developerappattributes.createOrUpdateAll,Editor (roles/editor),Basics Role
apigee.developerappattributes.createOrUpdateAll,Apigee Organization Admin (roles/apigee.admin),Predefined Role
apigee.developerappattributes.createOrUpdateAll,Apigee Developer Admin (roles/apigee.developerAdmin),Predefined Role
apigee.developerappattributes.delete,Owner (roles/owner),Basics Role
apigee.developerappattributes.delete,Editor (roles/editor),Basics Role
apigee.developerappattributes.delete,Apigee Organization Admin (roles/apigee.admin),Predefined Role
apigee.developerappattributes.delete,Apigee Developer Admin (roles/apigee.developerAdmin),Predefined Role
apigee.developerappattributes.get,Owner (roles/owner),Basics Role
apigee.developerappattributes.get,Editor (roles/editor),Basics Role
apigee.developerappattributes.get,Viewer (roles/viewer),Basics Role
apigee.developerappattributes.get,Apigee Organization Admin (roles/apigee.admin),Predefined Role
apigee.developerappattributes.get,Apigee Developer Admin (roles/apigee.developerAdmin),Predefined Role
apigee.developerappattributes.get,Apigee Read-only Admin (roles/apigee.readOnlyAdmin),Predefined Role
apigee.developerappattributes.list,Owner (roles/owner),Basics Role
apigee.developerappattributes.list,Editor (roles/editor),Basics Role
apigee.developerappattributes.list,Viewer (roles/viewer),Basics Role
apigee.developerappattributes.list,Apigee Organization Admin (roles/apigee.admin),Predefined Role
apigee.developerappattributes.list,Apigee Developer Admin (roles/apigee.developerAdmin),Predefined Role
apigee.developerappattributes.list,Apigee Read-only Admin (roles/apigee.readOnlyAdmin),Predefined Role
apigee.developerappattributes.list,Security Admin (roles/iam.securityAdmin),Predefined Role
apigee.developerappattributes.list,Security Reviewer (roles/iam.securityReviewer),Predefined Role
apigee.developerappattributes.update,Owner (roles/owner),Basics Role
apigee.developerappattributes.update,Editor (roles/editor),Basics Role
apigee.developerappattributes.update,Apigee Organization Admin (roles/apigee.admin),Predefined Role
apigee.developerappattributes.update,Apigee Developer Admin (roles/apigee.developerAdmin),Predefined Role
apigee.developerapps.create,Owner (roles/owner),Basics Role
apigee.developerapps.create,Editor (roles/editor),Basics Role
apigee.developerapps.create,Apigee Organization Admin (roles/apigee.admin),Predefined Role
apigee.developerapps.create,Apigee Developer Admin (roles/apigee.developerAdmin),Predefined Role
apigee.developerapps.create,Apigee Service Agent (roles/apigee.serviceAgent),Predefined Role
apigee.developerapps.delete,Owner (roles/owner),Basics Role
apigee.developerapps.delete,Editor (roles/editor),Basics Role
apigee.developerapps.delete,Apigee Organization Admin (roles/apigee.admin),Predefined Role
apigee.developerapps.delete,Apigee Developer Admin (roles/apigee.developerAdmin),Predefined Role
apigee.developerapps.delete,Apigee Service Agent (roles/apigee.serviceAgent),Predefined Role
apigee.developerapps.get,Owner (roles/owner),Basics Role
apigee.developerapps.get,Editor (roles/editor),Basics Role
apigee.developerapps.get,Viewer (roles/viewer),Basics Role
apigee.developerapps.get,Apigee Organization Admin (roles/apigee.admin),Predefined Role
apigee.developerapps.get,Apigee Developer Admin (roles/apigee.developerAdmin),Predefined Role
apigee.developerapps.get,Apigee Read-only Admin (roles/apigee.readOnlyAdmin),Predefined Role
apigee.developerapps.get,Apigee Service Agent (roles/apigee.serviceAgent),Predefined Role
apigee.developerapps.list,Owner (roles/owner),Basics Role
apigee.developerapps.list,Editor (roles/editor),Basics Role
apigee.developerapps.list,Viewer (roles/viewer),Basics Role
apigee.developerapps.list,Apigee Organization Admin (roles/apigee.admin),Predefined Role
apigee.developerapps.list,Apigee Developer Admin (roles/apigee.developerAdmin),Predefined Role
apigee.developerapps.list,Apigee Read-only Admin (roles/apigee.readOnlyAdmin),Predefined Role
apigee.developerapps.list,Apigee Service Agent (roles/apigee.serviceAgent),Predefined Role
apigee.developerapps.list,Security Admin (roles/iam.securityAdmin),Predefined Role
apigee.developerapps.list,Security Reviewer (roles/iam.securityReviewer),Predefined Role
apigee.developerapps.manage,Owner (roles/owner),Basics Role
apigee.developerapps.manage,Editor (roles/editor),Basics Role
apigee.developerapps.manage,Apigee Organization Admin (roles/apigee.admin),Predefined Role
apigee.developerapps.manage,Apigee Developer Admin (roles/apigee.developerAdmin),Predefined Role
apigee.developerapps.manage,Apigee Service Agent (roles/apigee.serviceAgent),Predefined Role
apigee.developerattributes.createOrUpdateAll,Owner (roles/owner),Basics Role
apigee.developerattributes.createOrUpdateAll,Editor (roles/editor),Basics Role
apigee.developerattributes.createOrUpdateAll,Apigee Organization Admin (roles/apigee.admin),Predefined Role
apigee.developerattributes.createOrUpdateAll,Apigee Developer Admin (roles/apigee.developerAdmin),Predefined Role
apigee.developerattributes.delete,Owner (roles/owner),Basics Role
apigee.developerattributes.delete,Editor (roles/editor),Basics Role
apigee.developerattributes.delete,Apigee Organization Admin (roles/apigee.admin),Predefined Role
apigee.developerattributes.delete,Apigee Developer Admin (roles/apigee.developerAdmin),Predefined Role
apigee.developerattributes.get,Owner (roles/owner),Basics Role
apigee.developerattributes.get,Editor (roles/editor),Basics Role
apigee.developerattributes.get,Viewer (roles/viewer),Basics Role
apigee.developerattributes.get,Apigee Organization Admin (roles/apigee.admin),Predefined Role
apigee.developerattributes.get,Apigee Developer Admin (roles/apigee.developerAdmin),Predefined Role
apigee.developerattributes.get,Apigee Read-only Admin (roles/apigee.readOnlyAdmin),Predefined Role
apigee.developerattributes.list,Owner (roles/owner),Basics Role
apigee.developerattributes.list,Editor (roles/editor),Basics Role
apigee.developerattributes.list,Viewer (roles/viewer),Basics Role
apigee.developerattributes.list,Apigee Organization Admin (roles/apigee.admin),Predefined Role
apigee.developerattributes.list,Apigee Developer Admin (roles/apigee.developerAdmin),Predefined Role
apigee.developerattributes.list,Apigee Read-only Admin (roles/apigee.readOnlyAdmin),Predefined Role
apigee.developerattributes.list,Security Admin (roles/iam.securityAdmin),Predefined Role
apigee.developerattributes.list,Security Reviewer (roles/iam.securityReviewer),Predefined Role
apigee.developerattributes.update,Owner (roles/owner),Basics Role
apigee.developerattributes.update,Editor (roles/editor),Basics Role
apigee.developerattributes.update,Apigee Organization Admin (roles/apigee.admin),Predefined Role
apigee.developerattributes.update,Apigee Developer Admin (roles/apigee.developerAdmin),Predefined Role
apigee.developerbalances.adjust,Owner (roles/owner),Basics Role
apigee.developerbalances.adjust,Editor (roles/editor),Basics Role
apigee.developerbalances.adjust,Apigee Organization Admin (roles/apigee.admin),Predefined Role
apigee.developerbalances.adjust,Apigee Developer Admin (roles/apigee.developerAdmin),Predefined Role
apigee.developerbalances.adjust,Apigee Monetization Admin (roles/apigee.monetizationAdmin),Predefined Role
apigee.developerbalances.get,Owner (roles/owner),Basics Role
apigee.developerbalances.get,Editor (roles/editor),Basics Role
apigee.developerbalances.get,Viewer (roles/viewer),Basics Role
apigee.developerbalances.get,Apigee Organization Admin (roles/apigee.admin),Predefined Role
apigee.developerbalances.get,Apigee Developer Admin (roles/apigee.developerAdmin),Predefined Role
apigee.developerbalances.get,Apigee Monetization Admin (roles/apigee.monetizationAdmin),Predefined Role
apigee.developerbalances.get,Apigee Read-only Admin (roles/apigee.readOnlyAdmin),Predefined Role
